angle_deg,distance_mm,quality,rotation
48.67,0.0,0,2
49.59,66.8,39,2
50.51,0.0,0,2
51.43,0.0,0,2
52.35,68.5,43,2
53.27,68.2,44,2
54.18,0.0,0,2
55.10,68.2,45,2
56.02,0.0,0,2
56.94,67.5,49,2
57.86,2.0,239,2
58.78,0.0,0,2
59.69,0.0,0,2
60.61,0.0,0,2
61.53,2.8,233,2
62.45,2.8,231,2
63.37,0.0,0,2
64.29,3.5,227,2
65.20,3.0,225,2
66.12,0.0,0,2
67.04,3.2,221,2
67.96,0.0,0,2
68.88,0.0,0,2
69.80,3.5,217,2
70.71,3.8,216,2
71.63,0.0,0,2
72.55,0.0,0,2
73.47,4.0,213,2
74.39,4.0,212,2
75.31,0.0,0,2
76.22,0.0,0,2
77.14,0.0,0,2
78.06,0.0,0,2
78.98,4.2,208,2
79.90,0.0,0,2
80.82,0.0,0,2
81.73,0.0,0,2
82.65,0.0,0,2
83.57,0.0,0,2
84.49,0.0,0,2
85.41,0.0,0,2
86.33,0.0,0,2
87.24,0.0,0,2
88.16,0.0,0,2
89.08,0.0,0,2
90.00,0.0,0,2
90.92,0.0,0,2
91.84,0.0,0,2
92.76,4.0,203,2
93.67,0.0,0,2
94.59,0.0,0,2
95.51,0.0,0,2
96.43,4.0,202,2
97.35,4.0,203,2
98.27,4.0,203,2
99.18,0.0,0,2
100.10,0.0,0,2
101.02,0.0,0,2
101.94,0.0,0,2
102.86,3.0,206,2
103.78,0.0,0,2
104.69,0.0,0,2
105.61,3.8,208,2
106.53,0.0,0,2
107.45,0.0,0,2
108.37,4.2,210,2
109.29,3.5,212,2
110.20,0.0,0,2
111.12,0.0,0,2
112.04,0.0,0,2
112.96,0.0,0,2
113.88,0.0,0,2
114.80,0.0,0,2
115.71,3.8,220,2
116.63,0.0,0,2
117.55,0.0,0,2
118.47,0.0,0,2
119.39,0.0,0,2
120.31,0.0,0,2
121.22,0.0,0,2
122.14,3.0,231,2
123.06,0.0,0,2
123.98,0.0,0,2
124.90,2.8,238,2
125.82,2.8,239,2
126.73,0.0,0,2
127.65,0.0,0,2
128.57,0.0,0,2
129.49,2.8,250,2
130.41,0.0,0,2
131.33,0.0,0,2
132.24,0.0,0,2
133.16,0.0,0,2
134.08,0.0,0,2
135.00,0.0,0,2
135.92,0.0,0,2
136.84,0.0,0,2
137.76,0.0,0,2
